Technology,No of fins,Transistor count,Node (nm),Lg,Fin height (nm),Fin width (nm),Vdd,Delay (ns),PD (microW),PDP (E-15 J)
CLA,1,14,32,30,30,40,1,0.12,2.92,0.3504
RCA,1,14,7,50,50,5,0.7,21.03,0.472,9.92616
CSA,1,14,7,50,50,5,0.7,20.03,0.945,18.928
CSLA,1,14,7,50,50,5,0.7,0.116,1.196,0.1387
CMOS,1,28,20,16,10,10,0.2,4.93,0.000841,0.004146
HCMOS,1,20,20,16,10,10,0.2,1.75,0.000317,0.000555
CPL,1,32,20,16,10,10,0.2,1.93,0.000523,0.001009
TG,1,20,20,16,10,10,0.2,2.93,0.000741,0.002171
PTM,1,18,16,32,32,16,0.8,9.21,0.00694,0.063917
TG,1,28,10,24,21,9,7,14.9,0.001539,0.022931
CMOS,1,28,10,14,21,9,7,14.9,0.0011085,0.016517
CLA,1,28,32,30,30,40,1,0.009,4.7,0.042
cmos logic,1,14,32,100,40,12,1,0.00025,0.00541,1.35E-06
gdi logic,1,14,32,100,40,12,1,2.53,0.24,0.6072
TG logic,1,14,32,100,40,12,1,0.00023,0.0991,0.0000227
Pass Transistor,2,26,32,30,30,8,0.9,0.128,0.018,0.002304
Feedback Loop,2,28,32,30,30,8,0.9,0.0969,0.038,0.003682
Double Driving,2,30,32,30,30,8,0.9,0.438,0.028,0.0122264
Single Driving,2,28,32,30,30,8,0.9,0.206,0.031,0.006386
Removed Single Driving,2,26,32,30,30,8,0.9,0.207,0.036,0.007452
Non Driving,2,24,32,30,30,8,0.9,0.001,0.024,0.000024
Pass Transistor,3,26,32,30,30,8,1,0.0644,0.046,0.002962
Feedback Loop,3,28,32,30,30,8,1,0.0673,0.081,0.005451
Double Driving,3,30,32,30,30,8,1,0.16,0.084,0.01344
Single Driving,3,28,32,30,30,8,1,0.132,0.088,0.011616
Removed Single Driving,3,26,32,30,30,8,1,0.154,0.083,0.012782
Non Driving,3,24,32,30,30,8,1,0.00064,0.079,5.06E-05
Pass Transistor,4,26,32,30,30,8,1.1,0.0587,0.078,0.004579
Feedback Loop,4,28,32,30,30,8,1.1,0.0547,0.116,0.006345
Double Driving,4,30,32,30,30,8,1.1,0.0434,0.155,0.006727
Single Driving,4,28,32,30,30,8,1.1,0.0412,0.138,0.005686
Removed Single Driving,4,26,32,30,30,8,1.1,0.0414,0.16,0.006624
Non Driving,4,24,32,30,30,8,1.1,0.00058,0.115,6.67E-05
